4119 14029603 3401
4118 14018416 10976
4117 14014094 4128
4116 14001800 12083
4115 14000052 1542
4114 13999331 494
4113 13998348 756
4112 13997726 401
4111 13997048 497
4110 13996201 672
4109 13993096 2909
4108 13991792 1101
4107 13981707 9845
4106 13977694 3838
4105 13977033 437
4104 13976291 518
4103 13965297 10782
4102 13959975 5093
4101 13958964 786
4100 13957944 795
4099 13956862 860
4098 13954389 2274
4097 13952882 1343
4096 13945880 6811
4095 13941931 3753
4094 13933092 8668
4093 13932363 507
4092 13931263 881
4091 13927077 3990
4090 13920918 5981
4089 13917248 3450
4088 13912883 4168
4087 13911030 1642
4086 13906641 4193
4085 13902103 4311
4084 13897511 4387
4083 13892016 5323
4082 13890236 1562
4081 13889107 942
4080 13885069 3836
4079 13875456 9420
4078 13869642 5625
4077 13866791 2625
4076 13863565 3039
4075 13862858 506
4074 13861060 1583
4073 13851963 8875
4072 13850332 1407
4071 13846662 3462
4070 13834394 12057
4069 13819748 14453
4068 13815862 3684
4067 13811466 4219
4066 13799041 12238
4065 13795011 3825
4064 13791306 3512
4063 13765226 25892
4062 13762635 2404
4061 13750423 12043
4060 13744901 5347
4059 13742589 2055
4058 13739814 2576
4057 13738428 1210
4056 13732907 5330
4055 13732244 488
4054 13728453 3595
4053 13727312 960
4052 13726604 521
4051 13725429 988
4050 13715694 9502
4049 13706000 9475
4048 13699581 6226
4047 13693284 6109
4046 13686497 6566
4045 13680490 5786
4044 13677145 3127
4043 13675376 1557
4042 13672472 2708
4041 13671053 1207
4040 13662025 8818
4039 13655321 6514
4038 13652052 3092
4037 13645586 6289
4036 13643899 1501
4035 13637826 5886
4034 13631734 5904
4033 13628692 2839
4032 13622313 6197
4031 13618007 4089
4030 13608429 9382
4029 13606286 1934
4028 13604708 1372
4027 13600921 3593
4026 13590179 10494
4025 13584448 5511
4024 13578095 6165
4023 13571884 6030
4022 13571123 550
4021 13567899 2998
4020 13567143 551
4019 13563351 3543
4018 13532617 30505
4017 13516286 16142
4016 13504947 11124
4015 13480365 24385
4014 13477367 2816
4013 13473641 3537
4012 13469259 4191
4011 13464758 4310
4010 13461672 2897
4009 13459724 1766
4008 13456235 3296
4007 13450341 5706
4006 13447091 3042
4005 13444124 2733
4004 13434244 9650
4003 13416397 17605
4002 13415171 1004
4001 13412718 2225
4000 13406424 6103
3999 13403665 2565
3998 13395431 8062
3997 13392675 2534
3996 13387677 4804
3995 13385060 2428
3994 13380700 4153
3993 13377125 3366
3992 13374521 2413
3991 13372136 2194
3990 13369458 2490
3989 13366253 3004
3988 13365948 116
3987 13358770 7018
3986 13354340 4264
3985 13353374 805
3984 13350560 2620
3983 13340600 9772
3982 13336794 3618
3981 13332890 3704
3980 13327019 5695
3979 13326699 116
3978 13322191 4292
3977 13319812 2200
3976 13317474 2159
3975 13314901 2394
3974 13312443 2279
3973 13309430 2795
3972 13305624 3618
3971 13301720 3704
3970 13297212 4292
3969 13295120 1876
3968 13293340 1564
3967 13291423 1701
3966 13289249 1995
3965 13285922 3101
3964 13283312 2413
3963 13281316 1808
3962 13279482 1617
3961 13277286 1979
3960 13275065 2019
3959 13273129 1722
3958 13270266 2690
3957 13267323 2731
3956 13265126 1979
3955 13263291 1617
3954 13261294 1808
3953 13258230 2864
3952 13256008 2019
3951 13252531 3255
3950 13250676 1668
3949 13248739 1738
3948 13245953 2564
3947 13244038 1733
3946 13236100 7738
3945 13222533 13373
3944 13219709 2645
3943 13215847 3651
3942 13213492 2159
3941 13213187 116
3940 13210561 2438
3939 13204246 6121
3938 13188037 16009
3937 13184132 3721
3936 13181603 2321
3935 13176673 4749
3934 13164117 12354
3933 13160068 3837
3932 13152377 7474
3931 13151768 416
3930 13148842 2729
3929 13144407 4262
3928 13136624 7596
3927 13127804 8620
3926 13126238 1382
3925 13124598 1462
3924 13123029 1328
3923 13122446 381
3922 13121268 970
3921 13118191 2857
3920 13116602 1345
3919 13115867 575
3918 13113714 1956
3917 13108976 4521
3916 13106271 2498
3915 13101720 4347
3914 13097035 4435
3913 13096475 377
3912 13093519 2757
3911 13086930 6386
3910 13083296 3435
3909 13081452 1650
3908 13077631 3634
3907 13063865 13591
3906 13059948 3741
3905 13054550 5199
3904 13051937 2396
3903 13049688 2065
3902 13043760 5741
3901 13027911 15668
3900 13026120 1613
3899 13024030 1902
3898 13018439 5416
3897 13016668 1575
3896 13015651 833
3895 13011174 4242
3894 13009712 1302
3893 13006079 3470
3892 13002691 3222
3891 12998656 3875
3890 12989705 8783
3889 12986670 2866
3888 12982782 3728
3887 12979171 3424
3886 12970235 8755
3885 12967166 2879
3884 12964651 2337
3883 12958774 5687
3882 12952152 6459
3881 12950082 1913
3880 12949568 350
3879 12943690 5703
3878 12943169 348
3877 12940855 2105
3876 12938910 1766
3875 12936325 2371
3874 12933527 2588
3873 12932336 977
3872 12925215 6917
3871 12922177 2854
3870 12916874 5119
3869 12909102 7588
3868 12900546 8386
3867 12897658 2711
3866 12892945 4502
3865 12891443 1291
3864 12889963 1294
3863 12888163 1646
3862 12884591 3378
3861 12882013 2379
3860 12877440 4395
3859 12867990 9271
3858 12866629 1168
3857 12862238 4192
3856 12860259 1771
3855 12856594 3471
3854 12851017 5396
3853 12847897 2939
3852 12846269 1445
3851 12844197 1890
3850 12834344 9669
3849 12828099 6058
3848 12824339 3561
3847 12819028 5136
3846 12815578 3278
3845 12812417 2995
3844 12811833 400
3843 12801694 9964
3842 12796871 4651
3841 12794788 1900
3840 12791521 3077
3839 12787858 3464
3838 12785243 2424
3837 12783108 1944
3836 12781627 1298
3835 12775958 5452
3834 12775090 693
3833 12774344 526
3832 12770468 3653
3831 12767390 2897
3830 12764899 2310
3829 12759689 5014
3828 12759214 317
3827 12751291 7733
3826 12747606 3482
3825 12740342 7086
3824 12738513 1650
3823 12727509 10817
3822 12722194 5131
3821 12714373 7637
3820 12709245 4895
3819 12708603 428
3818 12707951 428
3817 12707337 439
3816 12706654 435
3815 12706009 424
3814 12705332 437
3813 12704701 444
3812 12704052 444
3811 12703430 444
3810 12702807 445
3809 12702167 418
3808 12701549 446
3807 12700909 447
3806 12700283 439
3805 12699651 442
3804 12699026 444
3803 12698368 444
3802 12697669 443
3801 12697011 434
3800 12696392 441
3799 12695708 436
3798 12695082 436
3797 12694454 438
3796 12693795 435
3795 12693115 441
3794 12692488 440
3793 12691859 436
3792 12691203 441
3791 12690549 433
3790 12689915 431
3789 12689287 444
3788 12688613 434
3787 12687973 418
3786 12687315 436
3785 12686669 425
3784 12685992 434
3783 12685345 432
3782 12684670 436
3781 12683986 436
3780 12683340 425
3779 12682666 434
3778 12682047 438
3777 12681405 420
3776 12680746 437
3775 12680100 425
3774 12679422 435
3773 12678774 433
3772 12678090 436
3771 12677462 435
3770 12676838 440
3769 12676190 445
3768 12675544 425
3767 12674911 428
3766 12674237 434
3765 12673583 434
3764 12672943 418
3763 12672271 440
3762 12671606 441
3761 12670922 436
3760 12670282 444
3759 12669637 445
3758 12669009 438
3757 12668394 431
3756 12667744 435
3755 12667112 421
3754 12666471 441
3753 12665843 444
3752 12665208 436
3751 12664568 440
